"Country","Year","Total CO2 Emissions Excluding Land-Use Change and Forestry (MtCO2)","iso2","cumulativeShare"
"Switzerland",1868,0.7694,"CH",0.156708270872711
"United States",1868,82.3521,"US",16.7731416606922
"others",1868,3.68200000000002,NA,0.749934823698107
"China",1869,0,"CN",0
"European Union (28)",1869,421.0281,NA,80.9221239006089
"India",1869,0,"IN",0
"Japan",1869,0,"JP",0
"Russian Federation",1869,2.1958,"RU",0.422035488037395
"Switzerland",1869,0.7438,"CH",0.142959284088812
"United States",1869,93.6958,"US",18.0084491666154
"others",1869,2.62450000000001,NA,0.504432160649489
"China",1870,0,"CN",0
"European Union (28)",1870,426.5925,NA,79.2027782728812
"India",1870,0,"IN",0
"Japan",1870,0,"JP",0
"Russian Federation",1870,2.3829,"RU",0.442418233669013
"Switzerland",1870,0.8977,"CH",0.16667037994237
"United States",1870,98.6202,"US",18.3101996257018
"others",1870,10.1147,NA,1.8779334878056
"China",1871,0,"CN",0
"European Union (28)",1871,453.5792,NA,78.8493310711206
"India",1871,0,"IN",0
"Japan",1871,0,"JP",0
"Russian Federation",1871,3.217,"RU",0.55923705949434
"Switzerland",1871,1.1102,"CH",0.192995021277779
"United States",1871,103.0207,"US",17.908919283509
"others",1871,14.3209000000001,NA,2.48951756459823
"China",1872,0,"CN",0
"European Union (28)",1872,490.0425,NA,76.8650711489234
"India",1872,0,"IN",0
"Japan",1872,0,"JP",0
"Russian Federation",1872,3.3027,"RU",0.518041334136425
"Switzerland",1872,1.2751,"CH",0.200004391908849
"United States",1872,126.3054,"US",19.8114929980425
"others",1872,16.6102999999999,NA,2.6053901269889
"China",1873,0,"CN",0
"European Union (28)",1873,516.3178,NA,76.5850163755459
"India",1873,0,"IN",0
"Japan",1873,0,"JP",0
"Russian Federation",1873,3.0998,"RU",0.459790915131954
"Switzerland",1873,1.2421,"CH",0.184239723751661
"United States",1873,139.5068,"US",20.6929347826087
"others",1873,14.0095,NA,2.07801820296184
"China",1874,0,"CN",0
"European Union (28)",1874,477.3727,NA,74.8777637654972
"India",1874,0,"IN",0
"Japan",1874,0,"JP",0
"Russian Federation",1874,3.7648,"RU",0.590523515534809
"Switzerland",1874,1.1688,"CH",0.183330823671134
"United States",1874,134.2966,"US",21.0649437835667
"others",1874,20.9331,NA,3.28343811173016
"China",1875,0,"CN",0
"European Union (28)",1875,526.3531,NA,76.4124053470222
"India",1875,0,"IN",0
"Japan",1875,0,"JP",0
"Russian Federation",1875,4.3307,"RU",0.628701918610053
"Switzerland",1875,1.2824,"CH",0.186170212765957
"United States",1875,135.7475,"US",19.706909667379
"others",1875,21.1183,NA,3.0658128542228
"China",1876,0,"CN",0
"European Union (28)",1876,537.2947,NA,76.7756893161709
"India",1876,0,"IN",0
