"Country","Year","Total CO2 Emissions Excluding Land-Use Change and Forestry (MtCO2)","iso2","cumulativeShare"
"European Union (28)",1926,1223.4903,NA,33.935165153371
"India",1926,43.7921,"IN",1.21463336972344
"Japan",1926,0,"JP",0
"Russian Federation",1926,47.5584,"RU",1.3190968154223
"Switzerland",1926,7.4562,"CH",0.206807833635105
"United States",1926,1888.5355,"US",52.3810970062484
"others",1926,364.953,NA,10.1224671157738
"China",1927,33.5293,"CN",0.861677008034606
"European Union (28)",1927,1565.0031,NA,40.2193660104113
"India",1927,45.9319,"IN",1.1804142098208
"Japan",1927,0,"JP",0
"Russian Federation",1927,59.1257,"RU",1.51948463803156
"Switzerland",1927,8.5957,"CH",0.220902824036382
"United States",1927,1844.8387,"US",47.4109239179598
"others",1927,334.1436,NA,8.58723139170553
"China",1928,34.1192,"CN",0.873546785518241
"European Union (28)",1928,1562.1035,NA,39.9942112086976
"India",1928,44.1988,"IN",1.13161268915343
"Japan",1928,0,"JP",0
"Russian Federation",1928,65.6992,"RU",1.68208296123942
"Switzerland",1928,8.9658,"CH",0.229549513751772
"United States",1928,1827.7901,"US",46.7965300023759
"others",1928,362.9474,NA,9.29246683926362
"China",1929,35.8193,"CN",0.853799984744761
"European Union (28)",1929,1695.3877,NA,40.4117889628344
"India",1929,45.9942,"IN",1.09633206841975
"Japan",1929,0,"JP",0
"Russian Federation",1929,70.7534,"RU",1.68650006674167
"Switzerland",1929,10.2665,"CH",0.244715489788524
"United States",1929,1960.3353,"US",46.7271624301596
"others",1929,376.7236,NA,8.97970099731126
"China",1930,37.9224,"CN",0.98384030418251
"European Union (28)",1930,1563.0532,NA,40.551092118153
"India",1930,46.7563,"IN",1.21302270991416
"Japan",1930,0,"JP",0
"Russian Federation",1930,96.1908,"RU",2.495527338237
"Switzerland",1930,9.5557,"CH",0.247908433924984
"United States",1930,1742.2137,"US",45.1991450055623
"others",1930,358.8359,NA,9.30946409002606
"China",1931,40.26,"CN",1.17018011356502
"European Union (28)",1931,1422.4214,NA,41.3434981467788
"India",1931,42.8248,"IN",1.24472750440634
"Japan",1931,0,"JP",0
"Russian Federation",1931,115.5569,"RU",3.35872792760114
"Switzerland",1931,10.098,"CH",0.293504192418768
"United States",1931,1483.0773,"US",43.106496853942
"others",1931,326.2576,NA,9.48286526128792
"China",1932,38.6002,"CN",1.24380036398695
"European Union (28)",1932,1288.577,NA,41.5213532993406
"India",1932,39.8167,"IN",1.28299920603414
"Japan",1932,0,"JP",0
"Russian Federation",1932,130.1908,"RU",4.19509133185195
"Switzerland",1932,10.2262,"CH",0.329515165263478
"United States",1932,1256.4076,"US",40.4847702912411
"others",1932,339.5895,NA,10.9424703422818
"China",1933,42.2203,"CN",1.2889270292977
"European Union (28)",1933,1312.335,NA,40.0637620526948
"India",1933,39.0876,"IN",1.19329005597726
"Japan",1933,0,"JP",0
"Russian Federation",1933,145.4922,"RU",4.44167448199056
"Switzerland",1933,9.5667,"CH",0.292058043433663
"United States",1933,1347.1832,"US",41.1276291238045
"others",1933,379.731,NA,11.5926592128015
"China",1934,49.2735,"CN",1.38211794881001
"European Union (28)",1934,1414.8857,NA,39.6874368876702
"India",1934,43.6456,"IN",1.22425577940642
"Japan",1934,0,"JP",0
"Russian Federation",1934,175.9888,"RU",4.93647253127006
"Switzerland",1934,9.5557,"CH",0.268036662373158
"United States",1934,1434.3864,"US",40.2344300479766
"others",1934,437.3363,NA,12.2672501424936
"China",1935,57.6237,"CN",1.53284525907199
"European Union (28)",1935,1467.0606,NA,39.0252081258459
"India",1935,45.6021,"IN",1.21305925840803
"Japan",1935,0,"JP",0
"Russian Federation",1935,199.211,"RU",5.29920218425734
"Switzerland",1935,9.4751,"CH",0.252046677221924
"United States",1935,1490.2587,"US",39.6422996629127
"others",1935,490.0328,NA,13.0353388322821
"China",1936,65.0397,"CN",1.57088582525022
"European Union (28)",1936,1535.2929,NA,37.081503362059
"India",1936,44.818,"IN",1.08247671677551
"Japan",1936,0,"JP",0
"Russian Federation",1936,228.4386,"RU",5.51741411291881
"Switzerland",1936,9.9221,"CH",0.239645727866445
"United States",1936,1710.696,"US",41.3179657611006
"others",1936,546.1127,NA,13.1901084940294
"China",1937,60.5732,"CN",1.36740999996388
"European Union (28)",1937,1685.5919,NA,38.0514025991382
"India",1937,49.6435,"IN",1.12067743380252
"Japan",1937,0,"JP",0
"Russian Federation",1937,233.5836,"RU",5.27303412181564
"Switzerland",1937,10.4644,"CH",0.236228649033269
"United States",1937,1789.5599,"US",40.3984287241612
"others",1937,600.3595,NA,13.5528184720853
"China",1938,55.3044,"CN",1.32055954796044
"European Union (28)",1938,1678.6926,NA,40.0838548292817
"India",1938,55.5756,"IN",1.32703526687985
"Japan",1938,0,"JP",0
"Russian Federation",1938,246.5361,"RU",5.88679383144792
"Switzerland",1938,10.4607,"CH",0.24978079977994
"United States",1938,1513.4225,"US",36.1375321398144
"others",1938,627.9601,NA,14.9944435848357
"China",1939,67.1575,"CN",1.53895986639241
"European Union (28)",1939,1718.8536,NA,39.3887012858447
"India",1939,54.3994,"IN",1.24659931289621
"Japan",1939,0,"JP",0
"Russian Federation",1939,249.5615,"RU",5.71887179684607
"Switzerland",1939,11.8567,"CH",0.271704358379256
"United States",1939,1667.8601,"US",38.2201504918622
"others",1939,594.1352,NA,13.6150128877792
"China",1940,86.104,"CN",1.80908391070054
"European Union (28)",1940,1792.166,NA,37.654216713562
"India",1940,57.697,"IN",1.21224001667389
"Japan",1940,0,"JP",0
"Russian Federation",1940,299.1877,"RU",6.28606864198527
"Switzerland",1940,8.3136,"CH",0.174672489082969
"United States",1940,1871.4906,"US",39.3208623697772
"others",1940,644.5771,NA,13.5428558582181
"China",1941,107.6153,"CN",2.20337494308075
"European Union (28)",1941,1768.1218,NA,36.2014998837045
"India",1941,58.9574,"IN",1.2071262903062
"Japan",1941,0,"JP",0
"Russian Federation",1941,262.8515,"RU",5.38176642959867
"Switzerland",1941,6.6318,"CH",0.135783127004459
"United States",1941,2039.2139,"US",41.7519888978795
"others",1941,640.7203,NA,13.1184604284259
"China",1942,113.8698,"CN",2.31752439846429
"European Union (28)",1942,1789.2314,NA,36.4151638450091
"India",1942,58.8988,"IN",1.19873228933632
"Japan",1942,0,"JP",0
"Russian Federation",1942,180.878,"RU",3.68130248885502
"Switzerland",1942,5.8441,"CH",0.118941495787866
"United States",1942,2193.8933,"US",44.6510071184575
"others",1942,570.8086,NA,11.6173283640899
"China",1943,97.3048,"CN",1.90920107114043
"European Union (28)",1943,1787.5998,NA,35.0741942116978
"India",1943,51.2923,"IN",1.00639756827264
"Japan",1943,0,"JP",0
"Russian Federation",1943,230.9005,"RU",4.53045977101705
"Switzerland",1943,6.1702,"CH",0.121064453646178
"United States",1943,2267.1843,"US",44.4840408081899
"others",1943,656.1721,NA,12.874642116036
"China",1944,97.8618,"CN",1.93123691614015
"European Union (28)",1944,1581.2343,NA,31.2045972302475
"India",1944,52.4575,"IN",1.03521354122264
"Japan",1944,0,"JP",0
"Russian Federation",1944,216.2493,"RU",4.26753474031202
"Switzerland",1944,4.4518,"CH",0.0878532839501495
"United States",1944,2440.3816,"US",48.1592923427648
"others",1944,674.6757,NA,13.3142719453627
"China",1945,50.3544,"CN",1.18372205860781
"European Union (28)",1945,907.955,NA,21.3440406741666
"India",1945,58.1953,"IN",1.36804450688121
"Japan",1945,0,"JP",0
"Russian Federation",1945,228.9588,"RU",5.38232174491949
"Switzerland",1945,1.6232,"CH",0.0381578897878278
"United States",1945,2355.3401,"US",55.3689058333239
"others",1945,651.477200000001,NA,15.3148072923131
"China",1946,31.2759,"CN",0.689499104062758
"European Union (28)",1946,1281.0131,NA,28.2408303116027
"India",1946,57.4992,"IN",1.26761010504335
"Japan",1946,0,"JP",0
"Russian Federation",1946,257.315,"RU",5.67268925792411
"Switzerland",1946,5.7671,"CH",0.127139755627826
"United States",1946,2253.0302,"US",49.6696275511284
"others",1946,650.1315,NA,14.3326039146108
"China",1947,33.5916,"CN",0.658148822716201
"European Union (28)",1947,1448.7699,NA,28.3852571497538
"India",1947,58.5984,"IN",1.14809857145992
"Japan",1947,0,"JP",0
"Russian Federation",1947,309.8575,"RU",6.0709328771117
"Switzerland",1947,9.4495,"CH",0.185140847719571
"United States",1947,2480.7662,"US",48.6048105468076
"others",1947,762.918900000001,NA,14.9476111844312
"China",1948,23.849,"CN",0.443090983677219
"European Union (28)",1948,1567.5484,NA,29.1235088480712
"India",1948,58.6203,"IN",1.08910756805122
"Japan",1948,0,"JP",0
"Russian Federation",1948,329.7315,"RU",6.12608724409261
"Switzerland",1948,10.2152,"CH",0.189788377561303
"United States",1948,2577.0488,"US",47.8790342478173
"others",1948,815.4028,NA,15.1493827307291
"China",1949,59.3092,"CN",1.14073352597776
"European Union (28)",1949,1692.3536,NA,32.5501691024185
"India",1949,61.8813,"IN",1.19020444620881
"Japan",1949,0,"JP",0
"Russian Federation",1949,374.83,"RU",7.20935617985481
"Switzerland",1949,8.5335,"CH",0.164130515062271
"United States",1949,2159.9903,"US",41.5445386381331
"others",1949,842.3181,NA,16.2008675923447
"China",1950,78.6478,"CN",1.3348887386213
"European Union (28)",1950,1773.6864,NA,30.1047709052988
"India",1950,66.6042,"IN",1.13047277259988
"Japan",1950,102.559,"JP",1.74073342349388
"Russian Federation",1950,417.8214,"RU",7.09168065241478
"Switzerland",1950,10.2336,"CH",0.17369484455452
"United States",1950,2492.8207,"US",42.3106339888983
"others",1950,949.3389,NA,16.1131246741185
"China",1951,101.7236,"CN",1.59282795561535
"European Union (28)",1951,1969.6873,NA,30.8421349152067
"India",1951,69.7223,"IN",1.09173907106905
"Japan",1951,123.4841,"JP",1.93356238428449
"Russian Federation",1951,452.8361,"RU",7.09068494815193
"Switzerland",1951,12.3,"CH",0.19259821569497
"United States",1951,2569.6658,"US",40.2368331717387
"others",1951,1086.9328,NA,17.0196193382388
"China",1952,128.2217,"CN",1.97823660025524
"European Union (28)",1952,2010.0425,NA,31.0114406654143
"India",1952,73.4962,"IN",1.13391783777379
"Japan",1952,130.4384,"JP",2.01243640474845
"Russian Federation",1952,484.9261,"RU",7.48156169695952
"Switzerland",1952,11.2338,"CH",0.173317888625306
"United States",1952,2499.4013,"US",38.5613911715844
"others",1952,1143.856,NA,17.647697734639
"China",1953,134.1061,"CN",2.01880914646043
"European Union (28)",1953,2049.5627,NA,30.8537488227912
"India",1953,74.8775,"IN",1.12719243840579
"Japan",1953,145.8052,"JP",2.19492529692155
"Russian Federation",1953,513.0423,"RU",7.72324665142819
"Switzerland",1953,10.3398,"CH",0.155653492365907
"United States",1953,2562.1289,"US",38.5698283503181
"others",1953,1152.9695,NA,17.3565958013088
"China",1954,161.26,"CN",2.39455977876085
"European Union (28)",1954,2158.0526,NA,32.045057400535
"India",1954,78.7394,"IN",1.16920625228676
"Japan",1954,142.5772,"JP",2.1171377185188
"Russian Federation",1954,560.3374,"RU",8.3204849347354
"Switzerland",1954,12.6042,"CH",0.187160550436919
"United States",1954,2444.1005,"US",36.2926004746948
"others",1954,1176.7607,NA,17.4737928900314
"China",1955,190.8907,"CN",2.58812668527931
"European Union (28)",1955,2313.166,NA,31.3622751243554
"India",1955,85.4408,"IN",1.15842005132577
"Japan",1955,141.9177,"JP",1.92414290734679
"Russian Federation",1955,635.3838,"RU",8.61463532887758
"Switzerland",1955,13.6228,"CH",0.184700104343601
"United States",1955,2680.0768,"US",36.3369105183122
"others",1955,1315.1334,NA,17.8307892801593
"China",1956,216.3482,"CN",2.7527737909834
"European Union (28)",1956,2433.5499,NA,30.96403105628
"India",1956,88.4563,"IN",1.12550131818691
"Japan",1956,160.6884,"JP",2.04456896814975
"Russian Federation",1956,696.6372,"RU",8.86388066082389
"Switzerland",1956,17.0669,"CH",0.217156024470435
"United States",1956,2806.3712,"US",35.7077391313199
"others",1956,1440.1619,NA,18.3243490497857
"China",1957,256.3444,"CN",3.1303351797036
"European Union (28)",1957,2488.5188,NA,30.3884069439153
"India",1957,99.2358,"IN",1.21181237361156
"Japan",1957,188.1317,"JP",2.2973596416674
"Russian Federation",1957,762.3508,"RU",9.30940378847826
"Switzerland",1957,17.7008,"CH",0.216152320662739
"United States",1957,2785.054,"US",34.0095298105761
"others",1957,1591.7037,NA,19.4369999413851
"China",1958,525.381,"CN",6.24793075891201
"European Union (28)",1958,2458.0019,NA,29.2310260105983
"India",1958,103.7278,"IN",1.23355072256947
"Japan",1958,181.2214,"JP",2.15511935002045
"Russian Federation",1958,813.7349,"RU",9.67709017134268
"Switzerland",1958,16.2901,"CH",0.193724966939711
"United States",1958,2706.8276,"US",32.1901085519118
"others",1958,1603.6953,NA,19.0714494677056
"China",1959,721.1595,"CN",8.14327710558218
"European Union (28)",1959,2477.8869,NA,27.9801065686468
"India",1959,109.7331,"IN",1.23909764893142
"Japan",1959,192.6898,"JP",2.17583826715062
"Russian Federation",1959,855.5609,"RU",9.66092728363322
"Switzerland",1959,16.6089,"CH",0.187546409801027
"United States",1959,2792.873,"US",31.5369051641123
"others",1959,1689.3759,NA,19.0763015521425
"China",1960,780.0876,"CN",8.41858459338918
"European Union (28)",1960,2648.5478,NA,28.5827177664852
"India",1960,120.4833,"IN",1.30023711842194
"Japan",1960,232.5907,"JP",2.51008282093653
"Russian Federation",1960,890.7963,"RU",9.61333574207317
"Switzerland",1960,19.5071,"CH",0.210517602794484
"United States",1960,2858.0153,"US",30.8432585933305
"others",1960,1716.2279,NA,18.521265762569
"China",1961,551.6152,"CN",5.93183609141056
"European Union (28)",1961,2742.9273,NA,29.4962777571309
"India",1961,130.2918,"IN",1.40110280074742
"Japan",1961,282.8828,"JP",3.04200174810135
"Russian Federation",1961,918.6671,"RU",9.87895667083045
"Switzerland",1961,20.3718,"CH",0.219069703820703
"United States",1961,2849.9508,"US",30.6471631205674
"others",1961,1802.5252,NA,19.3835921073912
"China",1962,439.9988,"CN",4.54358716358776
"European Union (28)",1962,2901.7416,NA,29.9644360071178
"India",1962,143.31,"IN",1.47987102786135
"Japan",1962,292.9808,"JP",3.02542598311103
"Russian Federation",1962,964.2015,"RU",9.95669433305741
"Switzerland",1962,24.1348,"CH",0.249224696694077
"United States",1962,2961.842,"US",30.5850545314558
"others",1962,1955.7425,NA,20.1957062571149
"China",1963,436.3348,"CN",4.27601467625222
"European Union (28)",1963,3099.7501,NA,30.3770795277257
"India",1963,153.822,"IN",1.50743220465218
"Japan",1963,324.9565,"JP",3.18452427618323
"Russian Federation",1963,1034.0412,"RU",10.1334464889105
"Switzerland",1963,29.0812,"CH",0.284991336934451
"United States",1963,3096.0287,"US",30.340610373727
"others",1963,2030.2255,NA,19.8959011156147
"China",1964,436.5619,"CN",4.04580611798548
"European Union (28)",1964,3215.119,NA,29.7958848911263
"India",1964,150.0445,"IN",1.39052664941689
"Japan",1964,359.028,"JP",3.32726625692277
"Russian Federation",1964,1099.7024,"RU",10.1914131716105
"Switzerland",1964,28.1432,"CH",0.260815088856103
"United States",1964,3234.9163,"US",29.9793549499188
"others",1964,2266.9647,NA,21.0089328741632
"China",1965,475.5835,"CN",4.22110537153407
"European Union (28)",1965,3273.4978,NA,29.0543703624809
"India",1965,165.0815,"IN",1.46520307451983
"Japan",1965,386.6033,"JP",3.43134962899847
"Russian Federation",1965,1166.5949,"RU",10.3542700678098
"Switzerland",1965,30.3489,"CH",0.269365747150921
"United States",1965,3370.9606,"US",29.9194145631413
"others",1965,2398.1295,NA,21.2849211843647
"China",1966,522.3655,"CN",4.41657383132308
"European Union (28)",1966,3328.9543,NA,28.1461399097958
"India",1966,170.7937,"IN",1.44405207842946
"Japan",1966,419.3961,"JP",3.54597277235759
"Russian Federation",1966,1232.0047,"RU",10.416537305942
"Switzerland",1966,31.4994,"CH",0.266325830749501
"United States",1966,3538.7315,"US",29.9197955052137
"others",1966,2583.6468,NA,21.8446027661889
"China",1967,432.8796,"CN",3.54999986878569
"European Union (28)",1967,3364.3234,NA,27.5904607852914
"India",1967,170.6435,"IN",1.3994293161635
"Japan",1967,489.4848,"JP",4.01421313402754
"Russian Federation",1967,1288.2464,"RU",10.5647726318441
"Switzerland",1967,32.5327,"CH",0.266797235839352
"United States",1967,3666.301,"US",30.0669471809918
"others",1967,2749.3806,NA,22.5473798470566
"China",1968,468.545,"CN",3.66097916356731
"European Union (28)",1968,3550.4552,NA,27.7415029685072
"India",1968,185.8124,"IN",1.45184630021115
"Japan",1968,562.1089,"JP",4.39204125656178
"Russian Federation",1968,1324.4465,"RU",10.3485706597224
"Switzerland",1968,35.9988,"CH",0.281276839393072
"United States",1968,3800.4034,"US",29.694474726121
"others",1968,2870.5818,NA,22.4293080859161
"China",1969,576.7649,"CN",4.25443246193792
"European Union (28)",1969,3772.4869,NA,27.8272667591172
"India",1969,189.3042,"IN",1.39637820134545
"Japan",1969,653.4268,"JP",4.81991915496282
"Russian Federation",1969,1379.3174,"RU",10.1743582556355
"Switzerland",1969,38.069,"CH",0.280811105865691
"United States",1969,3993.1408,"US",29.4548920099138
"others",1969,2954.29,NA,21.7919420512215
"China",1970,770.9862,"CN",5.30564795301548
"European Union (28)",1970,3942.5322,NA,27.1310795142995
"India",1970,193.5618,"IN",1.33202224365623
"Japan",1970,768.1539,"JP",5.28615708962866
"Russian Federation",1970,1450.7816,"RU",9.9837538289434
"Switzerland",1970,40.26,"CH",0.277054747008965
"United States",1970,4299.1141,"US",29.5849470774509
"others",1970,3066.0342,NA,21.0993375459969
"China",1971,826.9953,"CN",5.74599327596849
"European Union (28)",1971,3889.343,NA,27.0232959315913
"India",1971,208.2033,"IN",1.44660406393416
"Japan",1971,788.4061,"JP",5.47787411770362
"Russian Federation",1971,1526.444,"RU",10.6057881588232
"Switzerland",1971,41.5414,"CH",0.2886311507143
"United States",1971,4327.6266,"US",30.0685062472573
"others",1971,2783.9963,NA,19.3433070540076
"China",1972,879.761,"CN",5.8243664479376
"European Union (28)",1972,4001.4439,NA,26.4911442931257
"India",1972,216.592,"IN",1.43392487015417
"Japan",1972,831.3846,"JP",5.5040955095441
"Russian Federation",1972,1607.5907,"RU",10.6428874831875
"Switzerland",1972,42.2469,"CH",0.279691219421383
"United States",1972,4570.2028,"US",30.2565535964773
"others",1972,2955.6141,NA,19.5673365801522
"China",1973,915.2676,"CN",5.72730242203447
"European Union (28)",1973,4221.9464,NA,26.4189007044712
"India",1973,216.1782,"IN",1.35273872739628
"Japan",1973,946.4863,"JP",5.92265396307314
"Russian Federation",1973,1673.9138,"RU",10.4745437957346
"Switzerland",1973,45.8489,"CH",0.28690026394206
"United States",1973,4737.2395,"US",29.6433559563426
"others",1973,3223.8993,NA,20.1736041670056
"China",1974,933.4276,"CN",5.84683157325981
"European Union (28)",1974,4144.439,NA,25.960060318175
"India",1974,233.0292,"IN",1.45965523630486
"Japan",1974,931.1412,"JP",5.83250995291229
"Russian Federation",1974,1737.0895,"RU",10.8808328939257
"Switzerland",1974,41.1661,"CH",0.257857441999755
"United States",1974,4585.7381,"US",28.7242827507784
"others",1974,3358.6433,NA,21.0379698326443
"China",1975,1083.4138,"CN",6.75563362409499
"European Union (28)",1975,4049.5274,NA,25.2508537967063
"India",1975,249.8101,"IN",1.55769246357997
"Japan",1975,888.9362,"JP",5.54296731534639
"Russian Federation",1975,1825.2789,"RU",11.3815381622342
"Switzerland",1975,38.566,"CH",0.240478537698936
"United States",1975,4392.3477,"US",27.3885119525303
"others",1975,3509.3099,NA,21.8823241478089
"China",1976,1134.8771,"CN",6.71247197609131
"European Union (28)",1976,4298.0645,NA,25.421816606999
"India",1976,267.9976,"IN",1.58512880351514
"Japan",1976,919.4501,"JP",5.43828316710625
"Russian Federation",1976,1894.3339,"RU",11.2044407426229
"Switzerland",1976,40.276,"CH",0.238220967987682
"United States",1976,4661.8058,"US",27.5732418871435
"others",1976,3690.187,NA,21.8263958485341
"China",1977,1281.7992,"CN",7.31580377835418
"European Union (28)",1977,4298.187,NA,24.5316838196442
"India",1977,272.9171,"IN",1.55766047549216
"Japan",1977,947.9058,"JP",5.41012417012262
"Russian Federation",1977,1957.9633,"RU",11.1749760087374
"Switzerland",1977,40.7573,"CH",0.232620217999445
"United States",1977,4853.3293,"US",27.7001302782347
"others",1977,3868.103,NA,22.0770012514153
"China",1978,1456.1207,"CN",8.04123430667278
"European Union (28)",1978,4441.3968,NA,24.5270274076227
"India",1978,259.0362,"IN",1.43049321262321
"Japan",1978,949.2872,"JP",5.24231322274681
"Russian Federation",1978,2024.3792,"RU",11.1793668428412
"Switzerland",1978,41.883,"CH",0.2312933374729
"United States",1978,4872.8605,"US",26.9097287225095
"others",1978,4063.2104,NA,22.4385429475109
"China",1979,1486.6732,"CN",7.96286208858384
"European Union (28)",1979,4613.787,NA,24.7121893278906
"India",1979,279.6714,"IN",1.49796524772302
"Japan",1979,974.8318,"JP",5.22135677361101
"Russian Federation",1979,2052.3627,"RU",10.9927865356378
"Switzerland",1979,40.5702,"CH",0.217300552338109
"United States",1979,4907.5747,"US",26.2857637613453
"others",1979,4314.615,NA,23.1097757128703
"China",1980,1465.2447,"CN",7.817957133227
"European Union (28)",1980,4488.7267,NA,23.9500425583327
"India",1980,296.2162,"IN",1.58049065372316
"Japan",1980,924.5288,"JP",4.93291429536227
"Russian Federation",1980,2133.7237,"RU",11.3846925505006
"Switzerland",1980,41.3478,"CH",0.220615251468402
"United States",1980,4703.2822,"US",25.0948245198018
"others",1980,4688.9705,NA,25.0184630375841
"China",1981,1451.0075,"CN",7.86143673358093
"European Union (28)",1981,4316.0083,NA,23.3837703747639
"India",1981,329.9871,"IN",1.78784238506544
"Japan",1981,898.8216,"JP",4.86973991738567
"Russian Federation",1981,2093.247,"RU",11.3410363890318
"Switzerland",1981,39.0754,"CH",0.211707234414273
"United States",1981,4634.2823,"US",25.1081521680652
"others",1981,4694.8522,NA,25.4363147976928
"China",1982,1513.4272,"CN",8.29347129058051
"European Union (28)",1982,4202.258,NA,23.0280690598215
"India",1982,352.7023,"IN",1.93278302330744
"Japan",1982,873.1687,"JP",4.78490114706773
"Russian Federation",1982,2133.0974,"RU",11.6892190433157
"Switzerland",1982,36.9345,"CH",0.202398381225041
"United States",1982,4399.725,"US",24.1101738979908
"others",1982,4737.1036,NA,25.9589841566913
"China",1983,1597.1283,"CN",8.67408035848045
"European Union (28)",1983,4176.2525,NA,22.6814275235777
"India",1983,376.388,"IN",2.04418127082698
"Japan",1983,879.8377,"JP",4.77844072528213
"Russian Federation",1983,2168.4764,"RU",11.7770992781659
"Switzerland",1983,40.8508,"CH",0.221862653055621
"United States",1983,4372.2924,"US",23.7461296179983
"others",1983,4801.4267,NA,26.0767785726129
"China",1984,1738.0051,"CN",9.1531849898866
"European Union (28)",1984,4192.9142,NA,22.0819371124529
"India",1984,412.2647,"IN",2.17118756665334
"Japan",1984,937.5964,"JP",4.93784126125505
"Russian Federation",1984,2188.3241,"RU",11.5247851143401
"Switzerland",1984,40.3048,"CH",0.212264791616769
"United States",1984,4563.3889,"US",24.0330380978141
"others",1984,4915.1836,NA,25.8857610659812
"China",1985,1795.4993,"CN",9.31164067506086
"European Union (28)",1985,4249.8802,NA,22.040307860023
"India",1985,435.3131,"IN",2.25757769348439
"Japan",1985,914.3692,"JP",4.74201100203317
"Russian Federation",1985,2360.0991,"RU",12.2397122498096
"Switzerland",1985,43.5415,"CH",0.225810615717401
"United States",1985,4586.7505,"US",23.7873512521869
"others",1985,4896.8558,NA,25.3955886516846
"China",1986,1907.8151,"CN",9.69887848949953
"European Union (28)",1986,4294.4113,NA,21.8317662873272
"India",1986,473.6039,"IN",2.40768965412481
"Japan",1986,912.5815,"JP",4.63934742956234
"Russian Federation",1986,2367.6387,"RU",12.0365123739385
"Switzerland",1986,43.5174,"CH",0.221232117713581
"United States",1986,4563.6491,"US",23.2005072659368
"others",1986,5107.2542,NA,25.9640663818974
"China",1987,2054.9579,"CN",10.1032148862235
"European Union (28)",1987,4339.2996,NA,21.3341968292896
"India",1987,508.6134,"IN",2.50060133797035
"Japan",1987,919.5228,"JP",4.52084027667033
"Russian Federation",1987,2468.3135,"RU",12.1354805843304
"Switzerland",1987,42.011,"CH",0.206547375294226
"United States",1987,4711.5441,"US",23.1643395167455
"others",1987,5295.3813,NA,26.0347791934761
"China",1988,2216.784,"CN",10.5120955364044
"European Union (28)",1988,4323.5031,NA,20.5022580635463
"India",1988,541.1341,"IN",2.56608373084892
"Japan",1988,990.9142,"JP",4.69896243331768
"Russian Federation",1988,2528.0114,"RU",11.9879507222712
"Switzerland",1988,42.0432,"CH",0.199370861146668
"United States",1988,4922.5858,"US",23.343136821516
"others",1988,5522.9604,NA,26.1901418309488
"China",1989,2294.7383,"CN",10.6677646063304
"European Union (28)",1989,4318.93,NA,20.0778139238005
"India",1989,583.4193,"IN",2.71219587836662
"Japan",1989,1020.0451,"JP",4.74197908085672
"Russian Federation",1989,2475.1463,"RU",11.5064441529692
"Switzerland",1989,41.8524,"CH",0.19456316714197
"United States",1989,4980.8707,"US",23.1550395799677
"others",1989,5795.9553,NA,26.9441996105668
"China",1990,2349.5038,"CN",10.8206555170604
"European Union (28)",1990,4188.361,NA,19.2895246911669
"India",1990,614.9176,"IN",2.83200713315617
"Japan",1990,1098.8054,"JP",5.06055564314718
"Russian Federation",1990,2222.8209,"RU",10.2372165710147
"Switzerland",1990,44.1878,"CH",0.203507209418755
"United States",1990,4912.6814,"US",22.625387153862
"others",1990,6281.8595,NA,28.9311460811739
"China",1991,2479.5967,"CN",11.2956856049547
"European Union (28)",1991,4161.7191,NA,18.958514717226
"India",1991,658.4543,"IN",2.99955745143173
"Japan",1991,1108.7412,"JP",5.05081814815297
"Russian Federation",1991,2213.0351,"RU",10.0813768312926
"Switzerland",1991,46.2613,"CH",0.210741166285829
"United States",1991,4878.6746,"US",22.2245716210536
"others",1991,6405.2326,NA,29.1787344596025
"China",1992,2615.5976,"CN",11.9551311212981
"European Union (28)",1992,4027.0386,NA,18.4064148451309
"India",1992,687.0026,"IN",3.14008781919386
"Japan",1992,1118.1053,"JP",5.11053208984376
"Russian Federation",1992,2039.9103,"RU",9.32383295969782
"Switzerland",1992,46.2615,"CH",0.211447777122877
"United States",1992,4934.9574,"US",22.5562459588662
"others",1992,6409.5785,NA,29.2963074288465
"China",1993,2844.2972,"CN",12.9240397731843
"European Union (28)",1993,3947.6254,NA,17.9373898336758
"India",1993,708.8264,"IN",3.22079583873409
"Japan",1993,1113.2527,"JP",5.05844542982526
"Russian Federation",1993,1853.0639,"RU",8.42003133352308
"Switzerland",1993,43.8932,"CH",0.199443807268921
"United States",1993,5057.4051,"US",22.9800544969439
"others",1993,6439.439,NA,29.2597994868447
"China",1994,2984.8739,"CN",13.4602406407591
"European Union (28)",1994,3935.2164,NA,17.7457947947019
"India",1994,747.196,"IN",3.36946829338841
"Japan",1994,1167.9371,"JP",5.26679348808346
"Russian Federation",1994,1630.1762,"RU",7.35125324350826
"Switzerland",1994,43.0564,"CH",0.194162140358686
"United States",1994,5140.2143,"US",23.1797133617842
"others",1994,6526.8166,NA,29.4325740374161
"China",1995,3258.7787,"CN",14.305493680862
"European Union (28)",1995,3974.6477,NA,17.4480389097924
"India",1995,808.6786,"IN",3.54996385675048
"Japan",1995,1181.7519,"JP",5.1876932722669
"Russian Federation",1995,1576.9181,"RU",6.92240682522778
"Switzerland",1995,43.8442,"CH",0.192468707998628
"United States",1995,5193.6996,"US",22.7994729461364
"others",1995,6741.592,NA,29.5944618009654
"China",1996,3335.3225,"CN",14.2651065755975
"European Union (28)",1996,4091.3099,NA,17.4984493275529
"India",1996,853.0397,"IN",3.64843346744302
"Japan",1996,1198.1261,"JP",5.12436098983082
"Russian Federation",1996,1540.6536,"RU",6.58934414890254
