"Country","total","perc"
"China",150108.5208,10.9781261152871
"European Union (28)",329071.7808,24.0665319420328
"India",37975.8932,2.77735162979684
"Japan",51004.7181,3.7302094830613
"others",327306.0389,23.9373951204724
"Russian Federation",102709.2437,7.51159910533442
"Switzerland",2744.4617,0.200715099320165
"United States",366421.2664,26.798071504695
